datum_zobrazeni;datum;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body;podil_zachycen_hosp;podil_zachycen_hosp_body;podil_zachycen_hosp_roste;podil_zachycen_hosp_roste_body
2020-12-07;2020-12-06;64;509.905657700000;16;510.876653000000;16;0;0;1.045268759157;10;0.208494208494;20;1;2;;;;
2020-12-08;2020-12-07;64;508.708718000000;16;502.995360300000;16;0;0;1.086876589086;10;0.212767912522;20;1;2;;;;
2020-12-09;2020-12-08;64;508.652611500000;16;497.178215700000;16;0;0;1.088791124713;10;0.213594200288;20;1;2;;;;
2020-12-10;2020-12-09;64;522.529631000000;16;504.215084200000;16;0;0;1.147171239356;10;0.222350990948;20;1;2;;;;
2020-12-11;2020-12-10;64;539.548617200000;16;507.264393900000;16;0;0;1.165829331363;10;0.223538911594;20;1;2;;;;
2020-12-12;2020-12-11;69;555.875622600000;16;513.879050300000;16;0;0;1.218090600560;15;0.224876733226;20;1;2;;;;
2020-12-13;2020-12-12;71;565.105149700000;16;519.461632600000;16;1;2;1.200676599726;15;0.222569131725;20;1;2;;;;
2020-12-14;2020-12-13;71;573.745558100000;16;524.199790700000;16;1;2;1.203330873827;15;0.224780457069;20;1;2;;;;
2020-12-15;2020-12-14;66;588.735357400000;16;532.268733300000;16;1;2;1.160288975390;10;0.225770423195;20;1;2;;;;
2020-12-16;2020-12-15;66;614.235783400000;16;544.700534300000;16;1;2;1.179536740707;10;0.229444033530;20;1;2;;;;
2020-12-17;2020-12-16;71;648.788065800000;16;564.919803100000;16;1;2;1.183131435493;10;0.230532738516;25;1;2;;;;
2020-12-18;2020-12-17;76;676.738477700000;16;580.823125900000;16;1;2;1.223277980936;15;0.233211044823;25;1;2;;;;
2020-12-19;2020-12-18;76;714.937685700000;16;603.200367700000;16;1;2;1.268249240831;15;0.240264409779;25;1;2;;;;
2020-12-20;2020-12-19;76;733.742730300000;16;608.876775000000;16;1;2;1.282347254996;15;0.242445091862;25;1;2;;;;
2020-12-21;2020-12-20;76;755.128676100000;16;623.419636600000;16;1;2;1.249294828744;15;0.246504256379;25;1;2;;;;
2020-12-22;2020-12-21;76;789.690309600000;16;647.673376700000;16;1;2;1.261320295901;15;0.256458832101;25;1;2;;;;
2020-12-23;2020-12-22;81;836.913320700000;16;678.119561000000;16;1;2;1.280880154860;15;0.266452583021;30;1;2;;;;
2020-12-24;2020-12-23;81;909.047639000000;16;723.390081700000;16;1;2;1.338689996546;15;0.282866316403;30;1;2;;;;
2020-12-25;2020-12-24;81;895.049055300000;16;706.829984500000;16;1;2;1.217297800638;15;0.296511313927;30;1;2;;;;
2020-12-26;2020-12-25;76;861.974245400000;16;683.936705700000;16;1;2;1.048145360713;10;0.306621962496;30;1;2;;;;
2020-12-27;2020-12-26;71;856.148515500000;16;683.983618100000;16;1;2;0.942690153421;5;0.317327595040;30;1;2;;;;
2020-12-28;2020-12-27;71;872.802809100000;16;699.042516700000;16;1;2;0.895894708650;5;0.322376799223;30;1;2;;;;
2020-12-29;2020-12-28;71;926.552881900000;16;738.542805200000;16;1;2;0.856619543906;5;0.345922257950;30;1;2;;;;
2020-12-30;2020-12-29;80;1006.467308200000;20;802.109184000000;16;1;2;1.008232401420;10;0.384888684938;30;1;2;;;;
2020-12-31;2020-12-30;80;1088.719507300000;20;873.181555800000;16;1;2;1.195654849827;10;0.424228969071;30;1;2;;;;
2021-01-01;2020-12-31;90;1141.945919000000;20;925.395120100000;16;1;2;1.446955997588;20;0.434839427580;30;1;2;;;;
2021-01-02;2021-01-01;90;1091.562239100000;20;897.013083800000;16;1;2;1.451721045439;20;0.443379984087;30;1;2;;;;
2021-01-03;2021-01-02;90;1088.326761500000;20;911.978157500000;16;1;2;1.404023369270;20;0.442420715004;30;1;2;;;;
2021-01-04;2021-01-03;85;1115.033478300000;20;941.439180300000;16;1;2;1.308036923966;15;0.444690781796;30;1;2;;;;
2021-01-05;2021-01-04;89;1161.611264100000;20;991.166384400000;20;1;2;1.276796897788;15;0.438750722279;30;1;2;;;;
2021-01-06;2021-01-05;86;1222.187633500000;20;1058.814146900000;20;1;2;1.120942065641;12;;;;;0.550905556124;30;1;2
2021-01-07;2021-01-06;86;1255.945073100000;20;1109.010475500000;20;1;2;1.118287319634;12;;;;;0.545427375971;30;1;2
2021-01-08;2021-01-07;86;1354.000616600000;20;1216.721476000000;20;1;2;1.109376117140;12;;;;;0.541208791208;30;1;2
2021-01-09;2021-01-08;89;1451.242615000000;20;1317.067220800000;20;1;2;1.204380670911;15;;;;;0.537074517019;30;1;2
2021-01-10;2021-01-09;87;1501.616943900000;20;1366.512950100000;20;1;2;1.218187682259;15;;;;;0.532051282051;30;0;0
2021-01-11;2021-01-10;84;1506.432755900000;20;1372.799219300000;20;1;2;1.177123289489;12;;;;;0.527094048493;30;0;0
2021-01-12;2021-01-11;84;1491.667382800000;20;1374.206593000000;20;1;2;1.119375501453;12;;;;;0.520446782977;30;0;0
2021-01-13;2021-01-12;81;1438.104331800000;20;1350.328152600000;20;1;2;1.011149493439;9;;;;;0.510437517872;30;0;0
